Created on 09-13-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1599955200.0,2020-09-13,BTCUSD,10448.82,10451.99,10448.82,10451.99,0.0,0.0
1599868800.0,2020-09-12,BTCUSD,10402.81,10480,10280,10448.82,838.88,8709670.89
1599782400.0,2020-09-11,BTCUSD,10351.99,10416.84,10207.9,10402.81,1534.6,15824633.4
1599696000.0,2020-09-10,BTCUSD,10234,10501.25,10222.3,10351.99,1626.43,16811188.58
1599609600.0,2020-09-09,BTCUSD,10133.44,10345,9989.37,10234,1691.67,17314842.19
1599523200.0,2020-09-08,BTCUSD,10383.95,10441.64,9850.82,10133.44,2604.98,26269384.05
1599436800.0,2020-09-07,BTCUSD,10261.23,10414.8,9880.5,10383.95,1710.73,17381897.87
1599350400.0,2020-09-06,BTCUSD,10168.78,10358.04,10003.46,10261.23,815.87,8331483.34
1599264000.0,2020-09-05,BTCUSD,10462.35,10573.73,9878,10168.78,2045.48,20790661.73
1599177600.0,2020-09-04,BTCUSD,10174.02,10634.4,9920,10462.35,4415.43,45856594.19
1599091200.0,2020-09-03,BTCUSD,11400.27,11478.95,10000,10174.02,5074.81,54575331.68
1599004800.0,2020-09-02,BTCUSD,11928.77,11959.1,11165.3,11400.27,3441.35,39349159.07
1598918400.0,2020-09-01,BTCUSD,11662.17,12068.59,11540.27,11928.77,2517.6,29978525.88
1598832000.0,2020-08-31,BTCUSD,11714.24,11777.77,11579.97,11662.17,1582.71,18524212.96
1598745600.0,2020-08-30,BTCUSD,11477.37,11714.24,11471.95,11714.24,855.7,9948167.31
1598659200.0,2020-08-29,BTCUSD,11548.53,11585.66,11430.28,11477.37,522.89,6020306.54
1598572800.0,2020-08-28,BTCUSD,11295.88,11557.14,11295.88,11548.53,1775.46,20362087.26
1598486400.0,2020-08-27,BTCUSD,11478.3,11592.99,11130.34,11295.88,1576.84,17853728.72
1598400000.0,2020-08-26,BTCUSD,11327.31,11820,11255,11478.3,1511.75,17306617.06
1598313600.0,2020-08-25,BTCUSD,11761.99,11777.15,11120,11327.31,1873.66,21411321.37
1598227200.0,2020-08-24,BTCUSD,11656.69,11827.21,11600.01,11761.99,1076.0,12646690.39
1598140800.0,2020-08-23,BTCUSD,11680.46,11714.17,11521.03,11656.69,346.23,4026383.61
